#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-12T09:08:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e694b4935b2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A53&tab:{J/A+A/633/A53/tceclass}&key:source=J/A+A/633/A53&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/633/A53/tceclass
#-order=I
#-out=recno
#-out=Name
#-out=Pplavall
#-out=Tdepth
#-out=Tdur
#-out=Tepoch
#-out=Tperiod
#-out=Sector
#-out=TIC
#-out=[M/H]
#-out=Teff
#-out=Tmag
#-out=Dist
#-out=logg
#-out=Mass
#-out=pmDE
#-out=pmRA*
#-out=RAJ2000
#-out=DEJ2000
#-out=rad
#-out=rho
#

#RESOURCE=yCat_36330053
#Name: J/A+A/633/A53
#Title: TESS planet candidates classification (Osborn+, 2020)
#Table	J_A_A_633_A53_tceclass:
#Name: J/A+A/633/A53/tceclass
#Title: Class probability estimates for each Threshold Crossing Event (TCE) (Tables A1 and A2)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A18)	Unique Threshold Crossing Event (TCE) identifier, in the form TID_ndet_sector (IDTCE)	[ucd=meta.id;instr.sensitivity]
#Column	Pplavall	(F5.3)	Planet class probability (mean average over all 2-,3- & 4-class models) (pl_av_all)	[ucd=stat.fit.goodness]
#Column	Tdepth	(I6)	TCE Depth (TDEPTH)	[ucd=phot.flux.density;arith.ratio]
#Column	Tdur	(F7.3)	TCE Duration (TDUR)	[ucd=time.duration]
#Column	Tepoch	(F7.3)	Epoch of first transit (BJD-2454833.0) (TEPOCH)	[ucd=time.epoch]
#Column	Tperiod	(F7.3)	TCE Period (TPERIOD)	[ucd=time.period]
#Column	Sector	(I2)	TESS sector (1-4, 99=multi-sector) (sector)	[ucd=meta.code]
#Column	TIC	(I9)	Tess ID (from Tess input catalogue) (TID)	[ucd=meta.id]
#Column	[M/H]	(F7.3)	? Target star Metallicity (MH)	[ucd=meta.id;meta.main]
#Column	Teff	(F8.2)	? Target star effective surface temperature (Teff)	[ucd=meta.id]
#Column	Tmag	(F7.3)	Target star Tess magnitude (Tmag)	[ucd=phot.mag;em.opt]
#Column	Dist	(F13.6)	? Target star distance (d)	[ucd=pos.distance]
#Column	logg	(F9.6)	? Target star log surface gravity (logg)	[ucd=meta.id]
#Column	Mass	(F9.6)	? Target star mass in solar masses (mass)	[ucd=meta.id]
#Column	pmDE	(F11.6)	? Target star proper motion in declination (pmDEC)	[ucd=pos.pm;pos.eq.dec]
#Column	pmRA*	(F11.6)	? Target star proper motion in RA, pmRA*cosDE (pmRA)	[ucd=pos.pm;pos.eq.ra]
#Column	RAJ2000	(F10.6)	Target star right ascension (J2000) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Target star declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	rad	(F9.6)	? Target star radii in solar radius (rad)	[ucd=meta.id]
#Column	rho	(F9.6)	? Target star density scaled to solar density (rho)	[ucd=phys.density]
#recno	Name	Pplavall	Tdepth	Tdur	Tepoch	Tperiod	Sector	TIC	[M/H]	Teff	Tmag	Dist	logg	Mass	pmDE	pmRA*	RAJ2000	DEJ2000	rad	rho
# 	 	 	ppm	h	d	d	 	 	[-]	K	mag	pc	[cm/s2]	Msun	mas/yr	mas/yr	deg	deg	Rsun	Sun
#--------	------------------	-----	------	-------	-------	-------	--	---------	-------	--------	-------	-------------	---------	---------	-----------	-----------	----------	----------	---------	---------
      18	000382517745_01_03	0.857	 14550	  2.806	1389.12	 10.441	 3	382517745	       	 5518.00	 10.590	   200.395676	 4.255020	 0.969274	  17.488400	  -8.627960	117.452114	-64.042389	 1.215980	 0.539097
      19	000299199358_01_03	0.850	  6190	  5.220	1386.28	  3.841	 3	299199358	       	 5879.00	 10.270	   272.825439	 3.976180	 1.065080	 -34.558500	  31.127500	 22.694415	 -5.980528	 1.757180	 0.196306
      20	000278683641_01_04	0.844	 14180	  4.684	1411.76	  4.242	 4	278683641	       	 6469.00	  9.520	   196.331665	 4.118870	 1.316780	  52.154500	 -11.016700	 99.245583	-58.460177	 1.657810	 0.289007
      21	000293480903_01_01	0.836	  9800	  3.027	1327.19	  7.570	 1	293480903	 -0.110	 6180.30	 10.414	   208.558000	 4.530000	 1.108769	  -0.900000	  -9.100000	 49.972971	-82.143425	 0.948298	 1.300190
      22	000220523550_03_99	0.832	  2230	  5.830	1330.93	 13.497	99	220523550	 -0.250	 6352.80	 11.064	   380.067719	 4.360000	 1.219090	   5.749090	   7.693910	 42.562588	-65.207001	 1.480320	 0.375811
      23	000183979262_01_02	0.830	   720	  3.182	1355.27	  3.430	 2	183979262	       	 6270.00	  8.273	   200.859833	 3.613320	 1.222350	  21.124400	  77.275200	 21.649233	-72.749038	 2.858600	 0.052328
      24	000308851582_01_01	0.829	 19170	  3.405	1329.01	  4.912	 1	308851582	       	 5806.00	  9.862	   157.142000	 4.340090	 1.043514	  62.670000	 -43.720000	122.586205	-63.740330	 1.143980	 0.697019
      25	000052079677_01_02	0.822	 10870	  3.918	1360.92	  9.029	 2	 52079677	       	 5823.00	 11.848	   397.897000	 4.336940	 1.048350	  -1.173370	   8.851860	 17.303944	-67.918976	 1.150790	 0.687885
      26	000339607421_01_02	0.821	  4130	  2.656	1355.16	  2.438	 2	339607421	       	 6214.00	  8.448	   102.035172	 4.262170	 1.196530	  52.694900	  12.614100	 46.209428	-52.558585	 1.339950	 0.497345
      27	000052079677_01_99	0.811	 11010	  3.997	1333.83	  9.030	99	 52079677	       	 5823.00	 11.848	   397.897000	 4.336940	 1.048350	  -1.173370	   8.851860	 17.303944	-67.918976	 1.150790	 0.687885
      28	000278683641_01_03	0.788	 14560	  4.784	1386.30	  4.242	 3	278683641	       	 6469.00	  9.520	   196.331665	 4.118870	 1.316780	  52.154500	 -11.016700	 99.245583	-58.460177	 1.657810	 0.289007
      29	000032090583_01_99	0.787	  2180	  0.633	1325.55	  0.438	99	 32090583	       	 3146.00	 13.551	             	         	         	           	           	 58.420270	-68.739532	         	
      30	000039018208_01_02	0.779	  4310	  3.241	1354.52	  6.651	 2	 39018208	 -0.450	 6081.50	 11.055	   384.231140	 4.030000	 1.121620	   3.228280	  -2.827110	 12.089551	-66.160247	 1.535990	 0.309514
      31	000166874908_01_04	0.755	 18630	  4.810	1412.63	  2.189	 4	166874908	       	 7635.00	 10.158	   454.270000	 4.122820	 1.782505	  -5.700000	   0.100000	 59.659708	-31.277292	 1.920080	 0.251809
      32	000141685465_01_04	0.752	 56530	  5.842	1412.28	  7.807	 4	141685465	       	 5379.00	 11.308	   208.924000	 4.424340	 0.932651	  32.285800	  -8.323000	 90.404430	-73.474958	 0.981527	 0.986309
      33	000260132330_00_04	0.745	 60470	  5.548	1417.55	 17.299	 4	260132330	 -0.100	 6316.30	  9.806	   266.327900	 4.010000	 1.295370	  -5.620420	  -5.728130	 92.597030	-56.377743	 1.878080	 0.195547
      34	000350479101_00_03	0.738	 38840	  4.868	1390.37	 11.917	 3	350479101	 -0.920	 6662.60	  9.264	   224.781738	 4.570000	 1.331910	   2.873270	   2.290170	 85.794493	-59.144745	 1.869630	 0.203802
      35	000183979262_01_01	0.738	   700	  2.415	1327.82	  3.431	 1	183979262	       	 6270.00	  8.273	   200.859833	 3.613320	 1.222350	  21.124400	  77.275200	 21.649233	-72.749038	 2.858600	 0.052328
      36	000278956474_06_99	0.737	  9080	  5.294	1330.70	  5.488	99	278956474	       	 5710.00	 12.887	   547.059000	 4.358100	 1.017782	  -2.550810	   1.698810	101.421833	-57.138103	 1.106600	 0.751074
      37	000229808144_01_01	0.731	 18540	  5.436	1331.35	 11.609	 1	229808144	       	 6087.00	 10.079	   442.340454	 3.595690	 1.141060	   7.434110	   0.467011	354.216956	-69.540154	 2.818520	 0.050962
      38	000038937499_01_02	0.731	  4330	  1.612	1354.82	  4.055	 2	 38937499	 -1.000	 5199.30	  8.720	    68.795660	 4.010000	 0.998312	 -25.652400	-158.663000	 10.300215	-68.457887	 1.177410	 0.611622
      39	000038937499_01_99	0.731	  4330	  1.613	1326.43	  4.056	99	 38937499	 -1.000	 5199.30	  8.720	    68.795660	 4.010000	 0.998312	 -25.652400	-158.663000	 10.300215	-68.457887	 1.177410	 0.611622
      40	000177077475_01_99	0.723	  2880	  3.387	1359.42	 16.645	99	177077475	 -0.003	 5478.28	 10.106	   109.210831	 4.560900	 0.918875	 -12.088400	  13.331700	103.206694	-70.430271	 0.823191	 1.647230
      41	000116417661_01_02	0.721	 20200	  3.872	1355.71	  2.278	 2	116417661	       	 6071.00	  9.224	   169.618820	 4.074770	 1.134470	  17.204300	  46.723400	  7.889645	-36.273687	 1.618920	 0.267373
      42	000032090583_04_99	0.718	  2190	  0.754	1325.55	  0.438	99	 32090583	       	 3146.00	 13.551	             	         	         	           	           	 58.420270	-68.739532	         	
      43	000278956474_02_03	0.704	  9160	  5.006	1391.07	 10.977	 3	278956474	       	 5710.00	 12.887	   547.059000	 4.358100	 1.017782	  -2.550810	   1.698810	101.421833	-57.138103	 1.106600	 0.751074
      44	000038937499_01_01	0.702	  4330	  1.609	1326.43	  4.055	 1	 38937499	 -1.000	 5199.30	  8.720	    68.795660	 4.010000	 0.998312	 -25.652400	-158.663000	 10.300215	-68.457887	 1.177410	 0.611622
      45	000206468815_01_03	0.694	 19510	  4.946	1388.17	 14.740	 3	206468815	       	 5722.00	  9.799	   138.875000	 4.355820	 1.020883	  12.000000	  47.000000	 57.017610	-53.606841	 1.111190	 0.744059
      46	000441422220_01_01	0.681	 54280	  4.279	1326.84	  3.700	 1	441422220	       	 6297.00	  9.056	   144.122800	 4.199460	 1.235000	 -55.295100	  48.769000	311.362110	-34.646395	 1.463250	 0.394195
      47	000279569707_01_04	0.675	 13480	  5.365	1413.81	  3.980	 4	279569707	       	 7801.00	  8.967	   255.124000	 4.113030	 1.850103	  15.400000	  -2.100000	105.968009	-57.629150	 1.978320	 0.238949
      48	000278683641_01_01	0.668	 13950	  4.745	1326.92	  4.242	 1	278683641	       	 6469.00	  9.520	   196.331665	 4.118870	 1.316780	  52.154500	 -11.016700	 99.245583	-58.460177	 1.657810	 0.289007
      49	000278683641_01_99	0.657	 14100	  4.734	1326.92	  4.242	99	278683641	       	 6469.00	  9.520	   196.331665	 4.118870	 1.316780	  52.154500	 -11.016700	 99.245583	-58.460177	 1.657810	 0.289007
      50	000079548760_00_04	0.656	 41120	  5.224	1416.29	 15.944	 4	 79548760	       	 6452.18	  7.341	   136.938278	         	 1.181200	  24.594900	  84.518000	 51.071789	-45.096830	 2.741010	 0.057358
      51	000278683641_03_99	0.652	 14290	  4.750	1326.92	  4.242	99	278683641	       	 6469.00	  9.520	   196.331665	 4.118870	 1.316780	  52.154500	 -11.016700	 99.245583	-58.460177	 1.657810	 0.289007
      52	000115693377_01_02	0.651	  3460	  2.482	1354.21	  4.929	 2	115693377	       	 5987.00	 11.329	   308.769000	 4.306970	 1.101748	 -11.700000	 -22.400000	  6.818862	-41.571549	 1.221150	 0.605033
      53	000279569707_01_03	0.648	 13230	  5.362	1385.96	  3.978	 3	279569707	       	 7801.00	  8.967	   255.124000	 4.113030	 1.850103	  15.400000	  -2.100000	105.968009	-57.629150	 1.978320	 0.238949
      54	000013092260_01_02	0.645	  3290	  5.663	1364.97	 13.245	 2	 13092260	       	 7855.00	  8.575	   227.856567	 4.107390	 1.872030	  -2.236090	 -11.098900	348.928384	-27.178315	 2.002970	 0.232964
      55	000150101472_01_01	0.640	   430	  3.670	1326.01	  3.280	 1	150101472	       	 5734.00	  9.860	   172.730911	 4.187900	 1.024010	  33.285900	  25.530200	 92.105789	-63.254407	 1.350260	 0.415960
      56	000214299966_02_01	0.637	  1270	  1.856	1325.50	  3.068	 1	214299966	       	 5994.00	 10.416	   233.334000	 4.305710	 1.104344	   4.671940	  22.877400	339.168005	-36.944102	 1.224360	 0.601690
      57	000407584737_01_01	0.628	  9090	  3.928	1327.02	  5.650	 1	407584737	 -0.310	 5813.00	  7.448	    84.175090	 4.090000	 1.032240	  15.720000	  40.510000	352.773670	-74.134524	 1.923350	 0.145079
      58	000300871545_01_99	0.625	   990	  2.193	1329.78	  4.817	99	300871545	       	 6380.00	 10.025	   228.285614	 4.248520	 1.274370	  32.732900	 -14.256700	117.657590	-70.533607	 1.404760	 0.459715
      59	000278956474_03_99	0.619	  9080	  5.327	1330.70	  5.488	99	278956474	       	 5710.00	 12.887	   547.059000	 4.358100	 1.017782	  -2.550810	   1.698810	101.421833	-57.138103	 1.106600	 0.751074
      60	000052079677_01_01	0.598	 11040	  4.078	1333.83	  9.030	 1	 52079677	       	 5823.00	 11.848	   397.897000	 4.336940	 1.048350	  -1.173370	   8.851860	 17.303944	-67.918976	 1.150790	 0.687885
      61	000308991822_01_04	0.591	 61960	  5.108	1414.55	 16.449	 4	308991822	       	 6211.00	  9.043	   118.423485	 4.284050	 1.195160	 171.253000	 -17.148200	123.113165	-65.544838	 1.305870	 0.536693
      62	000141435705_01_99	0.588	   290	  0.500	1325.30	  0.234	99	141435705	       	 7369.00	  9.340	   301.288727	 4.020820	 1.676460	  25.550200	 -15.114000	 84.885313	-76.033088	 2.094110	 0.182555
      63	000126763885_01_01	0.587	  6990	  3.800	1326.18	  4.357	 1	126763885	       	 5473.00	 12.350	   378.299000	 4.404950	 0.957591	 -25.407000	  15.585200	316.214506	-46.326247	 1.017020	 0.910306
      64	000101070833_01_04	0.551	 14240	  0.422	1410.99	  0.828	 4	101070833	       	 6312.00	 10.531	   576.041200	 3.622010	 1.242070	 -13.672700	   5.636680	 57.294198	-42.615281	 2.852870	 0.053493
      65	000063898957_01_03	0.544	   630	  4.922	1389.73	 13.039	 3	 63898957	 -0.350	 5890.30	  9.020	   115.313385	 3.920000	 1.120040	 -11.262700	 108.651000	 15.217632	-24.423907	 1.313830	 0.493874
      66	000009727392_01_02	0.535	  1310	  4.628	1357.60	  4.535	 2	  9727392	 -0.310	 6421.50	 11.239	   380.822000	 4.190000	 1.227342	   1.042280	  -2.062990	358.444723	-10.884944	 1.474590	 0.382785
      67	000278956474_02_04	0.527	  7660	  4.905	1413.04	  5.482	 4	278956474	       	 5710.00	 12.887	   547.059000	 4.358100	 1.017782	  -2.550810	   1.698810	101.421833	-57.138103	 1.106600	 0.751074
      68	000278956474_03_02	0.514	  9640	  5.148	1358.14	  5.488	 2	278956474	       	 5710.00	 12.887	   547.059000	 4.358100	 1.017782	  -2.550810	   1.698810	101.421833	-57.138103	 1.106600	 0.751074
      69	000382517745_01_02	0.514	 14370	  2.865	1357.80	 20.883	 2	382517745	       	 5518.00	 10.590	   200.395676	 4.255020	 0.969274	  17.488400	  -8.627960	117.452114	-64.042389	 1.215980	 0.539097
      70	000260001669_00_99	0.513	   200	  0.995	1325.39	  0.415	99	260001669	       	 7294.00	  8.070	   139.490112	 4.161570	 1.647730	  70.229700	  70.398000	 44.231156	-68.884535	 1.765510	 0.299416
      71	000302384263_01_04	0.506	 52870	  2.192	1415.32	  6.710	 4	302384263	       	 4782.00	  9.639	    72.976074	 4.386990	 0.771159	 -72.798800	 152.188000	 33.078033	-13.511693	 0.918558	 1.526580
      72	000150442264_03_01	0.500	   710	  0.612	1329.72	  6.254	 1	150442264	       	        	  6.295	             	         	         	  10.800000	  -9.500000	 97.794319	-61.879559	         	
      73	000220523550_01_02	0.481	  2450	  5.559	1357.94	 13.485	 2	220523550	 -0.250	 6352.80	 11.064	   380.067719	 4.360000	 1.219090	   5.749090	   7.693910	 42.562588	-65.207001	 1.480320	 0.375811
      74	000293480903_00_01	0.469	 33570	  3.114	1330.98	 15.139	 1	293480903	 -0.110	 6180.30	 10.414	   208.558000	 4.530000	 1.108769	  -0.900000	  -9.100000	 49.972971	-82.143425	 0.948298	 1.300190
      75	000231275247_01_02	0.469	  1130	  4.569	1356.12	  4.009	 2	231275247	 -0.429	 6114.19	  9.077	   185.359909	 3.874080	 1.219090	  48.123300	  44.025000	 41.835408	-51.452906	 1.928890	 0.169869
      76	000041259805_09_99	0.464	   510	  2.000	1325.94	  0.857	99	 41259805	       	 8034.00	  8.852	   239.950348	 4.222610	 1.943680	   9.972060	   3.478270	 92.122096	-71.119984	 1.787390	 0.340382
      77	000358232450_01_02	0.463	  5620	  0.500	1354.85	  0.834	 2	358232450	       	13032.00	  4.171	    85.763290	         	 3.576765	  30.400000	  24.600000	 17.096038	-55.245777	 2.772540	 0.167825
      78	000038937420_01_02	0.461	  2660	  1.026	1354.32	  0.234	 2	 38937420	       	 7217.00	  8.081	   257.573975	         	 1.634930	   7.258890	  -3.738810	 10.192323	-68.186430	 3.256240	 0.047353
      79	000279569707_01_02	0.461	 13140	  5.319	1354.12	  3.979	 2	279569707	       	 7801.00	  8.967	   255.124000	 4.113030	 1.850103	  15.400000	  -2.100000	105.968009	-57.629150	 1.978320	 0.238949
      80	000100100827_01_02	0.456	   390	  2.100	1354.93	  0.942	 2	100100827	  0.100	 6400.00	  8.833	   126.475334	 4.365830	 1.280000	  20.390900	  25.463500	 24.354314	-45.677896	 1.230000	 0.687851
      81	000308991822_01_99	0.450	 60720	  5.116	1332.30	  8.224	99	308991822	       	 6211.00	  9.043	   118.423485	 4.284050	 1.195160	 171.253000	 -17.148200	123.113165	-65.544838	 1.305870	 0.536693
      82	000349154435_01_01	0.446	 14520	  2.773	1326.10	  4.432	 1	349154435	       	 5327.00	 12.130	             	         	         	   0.984319	   4.898660	108.180231	-62.016541	         	
      83	000308991822_01_02	0.434	 60600	  5.104	1356.98	  8.224	 2	308991822	       	 6211.00	  9.043	   118.423485	 4.284050	 1.195160	 171.253000	 -17.148200	123.113165	-65.544838	 1.305870	 0.536693
      84	000092594505_00_01	0.430	 79150	  4.951	1328.04	 22.870	 1	 92594505	       	 6302.00	  8.037	   144.352631	         	 1.263890	   8.075410	 -42.932000	315.469699	-33.485078	 2.353240	 0.096986
      85	000197904545_00_03	0.429	  1720	  3.403	1390.22	 12.483	 3	197904545	       	 5561.00	  9.934	    96.689400	 4.618470	 0.980253	 -32.288400	 -29.172700	 58.365948	-54.513368	 0.804724	 1.881040
      86	000231851620_01_02	0.422	 22970	  5.766	1357.29	  3.717	 2	231851620	       	 7511.00	  8.225	   244.742020	 3.805870	 1.732460	  15.835300	  12.196100	 27.305456	-63.516566	 2.726540	 0.085473
      87	000441464221_01_02	0.412	 14800	  5.480	1355.89	 22.954	 2	441464221	       	 5620.00	  8.794	    75.521600	 4.375420	 0.995062	 -68.880000	   5.280000	353.245228	-19.711152	 1.072580	 0.806420
      88	000088571421_01_04	0.410	  1960	  2.694	1411.79	  3.190	 4	 88571421	       	 6356.00	 10.956	   343.282135	 4.247680	 1.262940	  12.836100	  -6.466860	 48.860531	-24.262665	 1.399800	 0.460452
      89	000007624182_01_04	0.397	   280	  0.979	1411.26	  1.109	 4	  7624182	       	 8666.00	  8.768	   432.010345	 3.800830	 2.168920	  -0.372222	  11.731200	 64.311397	-38.844151	 3.068460	 0.075073
      90	000164752991_01_03	0.394	  1110	  0.978	1386.20	  1.223	 3	164752991	       	 5832.00	 10.748	   152.511261	 4.638520	 1.050950	 -37.267600	  53.232900	 25.842185	-21.001546	 0.814223	 1.946940
      91	000177309964_01_01	0.387	 23480	  1.518	1325.52	  0.453	 1	177309964	       	 3289.00	 13.069	             	         	         	  40.063000	   0.833706	103.452547	-75.703975	         	
      92	000091638523_01_03	0.377	 12980	  5.281	1388.27	  3.166	 3	 91638523	  0.150	 6209.17	  5.986	    55.474808	 3.900000	 1.156240	 -62.395100	 114.960000	 39.603474	-37.990558	 2.263380	 0.099718
